N,P,K,temperature,humidity,ph,rainfall,label
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,แตงโม
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,ข้าว
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,มะม่วง
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,แตงโม
31,29,26,28.22373428,47.40519056,5.024124684,97.76832322,มะม่วง
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,กาแฟ
49,55,51,24.87212063,93.90560147,6.676578778,135.1694525,มะละกอ
1,29,29,27.32961444,49.30347234,6.052026047,93.53197359,มะม่วง
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,ข้าว
106,20,51,29.73019662,90.97015715,6.342573112,20.49035619,แตงไทย
22,18,31,30.7645515,47.93791463,5.956027059,90.38503469,มะม่วง
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,กล้วย
114,30,51,29.24908541,90.06998135,6.069171847,25.93496537,แตงไทย
40,65,49,35.32876402,91.06138506,6.678449318,163.9069365,มะละกอ
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,แตงไทย
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,กล้วย
86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,กาแฟ
113,28,48,28.87726019,92.48839665,6.170520518,24.44267592,แตงไทย
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,กล้วย
34,65,48,41.41968393,90.03863107,6.665024508,199.3096432,มะละกอ
100,18,52,26.20234499,80.38266489,6.87606733,56.47941847,แตงโม
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,กล้วย
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,ข้าว
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,มะละกอ
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,ข้าว
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,กาแฟ
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,กล้วย
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,กล้วย
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,ข้าว
113,20,48,27.46583649,94.87679041,6.440584681,27.27899847,แตงไทย
105,14,50,26.2148837,87.6883982,6.419052193,59.65590798,แตงโม
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,มะม่วง
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,แตงโม
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,ข้าว
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,ข้าว
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,กล้วย
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,ข้าว
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,ข้าว
31,68,45,42.92325255,90.07600528,6.938313356,196.2408242,มะละกอ
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,ข้าว
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,กล้วย
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,ข้าว
23,23,30,32.82141065,47.45553843,4.755273631,90.89173106,มะม่วง
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,กล้วย
94,26,27,26.36629861,52.25738495,7.456460375,177.3176161,กาแฟ
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,มะม่วง
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,มะม่วง
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,มะม่วง
59,47,53,32.86316618,91.4618874,6.850663232,47.271547,มะละกอ
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,ข้าว
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,แตงโม
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,มะม่วง
58,51,47,42.13473976,91.70445386,6.757470637,197.402901,มะละกอ
118,21,51,24.42998931,86.33904774,6.678805092,48.58241822,แตงโม
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,มะม่วง
28,23,28,30.01821337,50.0983181,5.676032581,96.08745082,มะม่วง
95,23,45,27.82424457,90.56698742,6.266208727,21.19014526,แตงไทย
110,28,46,24.29105004,88.04541346,6.49889585,51.26046418,แตงโม
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,ข้าว
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,มะม่วง
84,29,49,29.94349168,93.90741192,6.251420275,20.39020503,แตงไทย
106,21,35,25.627355,57.04151119,7.428523634,188.5506536,กาแฟ
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,ข้าว
95,13,46,29.84070774,93.76312893,6.126019932,23.28207838,แตงไทย
107,5,52,26.6634609,89.98405233,6.881425746,57.40847165,แตงโม
38,61,52,31.22790131,94.94021378,6.620729882,46.44279118,มะละกอ
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,ข้าว
44,56,49,39.23342464,91.25589286,6.519779583,64.4478499,มะละกอ
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,กาแฟ
80,30,25,26.24092174,65.64381357,7.487266991,148.3771202,กาแฟ
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,แตงไทย
101,17,55,24.37118217,87.1269128,6.451499764,44.63907691,แตงโม
56,65,45,38.2016825,93.97379963,6.751298936,218.0908814,มะละกอ
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,กล้วย
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,กล้วย
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,กล้วย
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,แตงโม
26,18,30,32.06097197,51.08494181,6.336234624,96.59816497,มะม่วง
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,แตงโม
119,30,49,25.35794749,80.45846265,6.903020221,47.72078245,แตงโม
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,มะม่วง
95,27,55,28.47212559,91.21322065,6.160414414,20.88620369,แตงไทย
109,29,28,23.26316991,60.5160021,6.724688503,194.1755471,กาแฟ
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,กล้วย
111,88,55,29.44795403,78.34971537,5.505393833,96.45042585,กล้วย
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,กล้วย
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,กล้วย
99,15,27,27.41711238,56.63636248,6.086922359,127.92461,กาแฟ
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,ข้าว
88,17,52,29.90415889,90.75284363,6.646962425,25.37828397,แตงไทย
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,กล้วย
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,กล้วย
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,แตงไทย
97,12,47,25.28784623,89.63667876,6.765094964,58.28697664,แตงโม
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,กาแฟ
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,แตงโม
